Specimen 1,Specimen 1,Specimen 1,Specimen 1
Test time,Standard force,Strain,Grip to grip separation
s,N,mm,mm
0,-3.600899935,0,36.99480584
0.100000001,-3.690896273,0.000149455,36.99479768
0.2,-3.470727205,-0.00015,36.99479771
0.300000001,-3.234765291,-0.00015,36.99479768
0.4,-3.620507479,-0.00015,36.99480588
0.5,-3.366112947,-0.00015,36.99481407
0.600000001,-3.071191072,-1.18613E-09,36.99499449
0.7,-3.308099031,-0.000150682,36.99535534
0.800000001,-2.669732332,-0.000149728,36.9958801
0.9,-2.546146154,-0.00015,36.99657771
1,-1.79834342,0,36.99741456
1.100000001,-1.191226721,0.00015,36.99844787
1.15,-0.181461051,0.00015,36.99903056
1.21,0.820736229,0.0003,36.99976823
1.28,1.998958826,0.000449999,37.00068757
1.32,3.070247889,0.000749998,37.00126168
1.36,4.126888752,0.000600001,37.00186059
1.4,5.354427814,0.000750681,37.00250909
1.44,6.390560627,0.000900951,37.00317284
1.48,7.466732502,0.001199998,37.00382134
1.53,8.780208588,0.0012,37.0046663
1.57,9.935482025,0.001649454,37.00533101
1.600000001,11.04095078,0.001500001,37.00583074
1.640000001,12.2460289,0.00165,37.00651166
1.680000001,13.44817734,0.0018,37.00716874
1.720000001,14.70971966,0.00195,37.00782457
1.75,15.83081341,0.002249726,37.00830904
1.78,17.07885933,0.00225,37.00880876
1.810000001,18.29174995,0.002399727,37.00931803
1.840000001,19.6550312,0.002549999,37.00981775
1.87,21.07299995,0.002699727,37.01031843
1.9,22.3815937,0.0027,37.01083532
1.930000001,23.48510933,0.002999726,37.01132742
1.96,24.51635933,0.003,37.01181951
1.99,25.70581245,0.003299726,37.01232877
2.02,27.0300312,0.003300001,37.0128285
2.050000001,28.3737812,0.003599725,37.01333776
2.08,29.72143745,0.003600001,37.01383749
2.11,30.82885933,0.003899727,37.01434675
2.140000001,32.35229874,0.004199452,37.01485506
2.170000001,33.62964249,0.004199728,37.01533952
2.2,34.74292374,0.004349999,37.01582304
2.23,35.96167374,0.00465,37.01632372
2.260000001,37.29565811,0.004650004,37.01681581
2.29,38.75854874,0.004949726,37.0173327
2.310000001,40.07886124,0.005099996,37.01766935
2.33,41.13159561,0.005249727,37.01800504
2.350000001,42.20190811,0.005250681,37.01834169
2.37,43.45581436,0.005400408,37.01866975
2.390000001,44.76050186,0.005549728,37.0190064
2.41,45.83472061,0.005699725,37.01935068
2.44,47.33081436,0.005700001,37.01984277
2.46,48.68237686,0.005999999,37.02017942
2.48,49.75268936,0.006,37.02050748
2.5,50.90112686,0.006149999,37.02085176
2.52,52.10034561,0.0063,37.02119699
2.54,53.46753311,0.006449998,37.02153268
2.560000001,54.72143936,0.006749452,37.02186933
2.58,55.76050186,0.00675,37.0221974
2.600000001,56.96167374,0.00675,37.02252546
2.62,58.11401749,0.007049454,37.02285352
2.640000001,59.17847061,0.007349861,37.02318159
2.670000001,60.76050186,0.00735,37.02366605
2.69,61.81909561,0.007499999,37.02399412
2.71,63.17847061,0.007500953,37.02433839
2.73,64.6550293,0.007649729,37.02467504
2.75,65.87768555,0.007799726,37.02501169
2.77,67.3659668,0.007949725,37.02534738
2.79,68.6706543,0.008099725,37.02569261
2.810000001,69.95581055,0.008249996,37.02601209
2.83,70.9909668,0.00825,37.02634874
2.850000001,72.23706055,0.00840068,37.02668443
2.87,73.4206543,0.008549729,37.02702966
2.890000001,74.82299805,0.008699726,37.02735773
2.91,76.1003418,0.008849725,37.02768579
2.930000001,77.5300293,0.008999726,37.02802244
2.95,78.88549805,0.009,37.02836671
2.970000001,80.02612305,0.009149998,37.02870241
2.99,81.09838867,0.009299727,37.02903906
3.010000001,82.29760742,0.009449998,37.0293757
3.03,83.31713867,0.009599727,37.02969518
3.050000001,84.44604492,0.009750407,37.03004041
3.08,85.65307617,0.009899998,37.03052393
3.100000001,86.68237305,0.010049999,37.03084436
3.130000001,88.1862793,0.0102,37.03134409
3.15,89.3659668,0.010349999,37.03168932
3.170000001,91.12768555,0.010649453,37.03202501
3.19,92.42456055,0.01065,37.03237024
3.21,93.9987793,0.010950407,37.03270593
3.23,95.51049805,0.011099728,37.03301778
3.25,97.0769043,0.0111,37.03335443
3.27,98.54956055,0.011249727,37.03369108
3.29,100.1120605,0.01154918,37.03402677
3.310000001,101.4558105,0.01155,37.03436342
3.33,102.8034668,0.01170068,37.0346829
3.350000001,104.041748,0.011999181,37.03502813
3.37,105.479248,0.012,37.03536382
3.390000001,106.7331543,0.012149727,37.03569284
3.41,107.9401855,0.012299726,37.0360209
3.430000001,109.182373,0.012449726,37.03636518
3.45,110.6276855,0.01274918,37.03670183
3.470000001,111.7897949,0.012899861,37.03702989
3.49,113.4694824,0.0129,37.03736559
3.510000001,114.9772949,0.013049727,37.03770223
3.53,116.6608887,0.013349453,37.03802267
3.550000001,118.0554199,0.01335,37.03834215
3.57,119.5671387,0.013649453,37.0386788
3.590000001,120.8522949,0.01365,37.03900686
3.61,122.5515137,0.013799999,37.03935114
3.630000001,123.8562012,0.0138,37.03969541
3.65,125.3718262,0.014099454,37.04001585
3.670000001,126.6843262,0.014249996,37.04035249
3.69,128.1179199,0.01425,37.04068819
3.71,129.3483887,0.014549998,37.04102483
3.73,130.8679199,0.014699727,37.04136148
3.75,132.1257324,0.014849998,37.04168955
3.77,133.4694824,0.014999999,37.04201761
3.79,134.5749512,0.015149999,37.04233709
3.810000001,135.8757324,0.015299727,37.04267374
3.83,137.1101074,0.015449998,37.04301038
3.850000001,138.6647949,0.015599999,37.04335466
3.87,140.3952637,0.015749998,37.04369131
3.890000001,142.3444824,0.015899999,37.044027
3.91,144.2741699,0.016049998,37.04436365
3.930000001,146.1921387,0.016199999,37.04469171
3.95,148.0554199,0.016499996,37.04502836
3.96,149.0632324,0.016649723,37.04519239
3.98,150.7390137,0.016799726,37.04552045
4,152.3132324,0.016949726,37.0458571
4.02,153.8522949,0.017099725,37.04617658
4.04,155.4187012,0.017249726,37.04651323
4.060000001,156.8562012,0.017399725,37.04685751
4.08,158.4812012,0.017549999,37.04718557
4.100000001,160.0241699,0.017699728,37.04752222
4.12,161.6647949,0.017849727,37.04785886
4.140000001,163.3640137,0.017999997,37.04819456
4.16,165.0983887,0.01815,37.04852262
4.180000001,166.6804199,0.018449454,37.04885927
4.2,168.3835449,0.018599724,37.04918733
4.220000001,170.1687012,0.018749725,37.04952398
4.24,171.6647949,0.018899726,37.04984346
4.260000001,173.2194824,0.019199453,37.05018011
4.28,174.7663574,0.01935,37.05051675
4.300000001,176.2976074,0.019499727,37.05084482
4.32,177.7624512,0.019649725,37.05118909
4.340000001,179.2507324,0.019799726,37.05152574
4.36,180.6999512,0.019949725,37.05186144
4.380000001,182.0202637,0.020249452,37.0521895
4.4,183.3991699,0.020250406,37.05251852
4.420000001,184.7194824,0.02054986,37.052838
4.44,186.0593262,0.020699726,37.05317464
4.46,187.5749512,0.020849725,37.0534865
4.48,189.2507324,0.021149453,37.05383077
4.5,191.0319824,0.02115,37.05415884
4.52,192.8171387,0.021449998,37.05449548
4.53,193.8171387,0.021599725,37.05466715
4.550000001,195.6530762,0.021599725,37.05501238
4.57,197.4304199,0.021749999,37.05534807
4.58,198.4304199,0.021899726,37.0555121
4.600000001,200.3522949,0.022049727,37.05584875
4.62,202.2624512,0.022199726,37.05618539
4.640000001,203.9616699,0.022349726,37.05649725
4.66,205.7585449,0.022649454,37.05683294
4.670000001,206.7663574,0.022649998,37.05699697
4.69,208.1960449,0.022799727,37.05733362
4.71,209.7233887,0.022949997,37.05766168
4.73,211.2897949,0.023099998,37.05800596
4.75,212.9265137,0.023249999,37.05832639
4.77,214.3132324,0.023399999,37.05867067
4.79,215.9069824,0.023549998,37.05900732
4.810000001,217.4187012,0.023999179,37.05934396
4.83,218.7702637,0.024,37.05967203
4.850000001,220.3054199,0.024149999,37.06000009
4.87,221.9265137,0.02459918,37.06032816
4.890000001,223.3444824,0.02445,37.06065622
4.91,224.7858887,0.024599999,37.0609757
4.930000001,226.5476074,0.02504918,37.06131235
4.95,228.0710449,0.025049999,37.06165662
4.970000001,229.3249512,0.025199998,37.06198469
4.99,230.7429199,0.025649179,37.06233755
5.010000001,232.0124512,0.025799859,37.06267419
5.03,233.1999512,0.025800001,37.06301084
5.050000001,234.3679199,0.02595,37.06333891
5.07,235.8171387,0.0261,37.06366697
5.090000001,237.0358887,0.026249999,37.06401125
5.11,238.5749512,0.02669918,37.06434789
5.130000001,239.8874512,0.02669918,37.06466737
5.15,241.5983887,0.02685,37.06499544
5.170000001,243.0437012,0.026999727,37.06533209
5.19,244.7468262,0.027149998,37.06566873
5.21,246.4655762,0.027299998,37.06601301
5.23,248.1530762,0.027599452,37.06634107
5.25,249.4929199,0.027749998,37.06667772
5.27,250.9226074,0.027899999,37.06700578
5.29,252.3347168,0.02805,37.06734243
5.310000001,253.5925293,0.028349454,37.06767049
5.33,254.838623,0.0285,37.06799856
5.350000001,256.1628418,0.028649999,37.06832662
5.37,257.385498,0.0288,37.0686461
5.390000001,258.4128418,0.029099997,37.06898275
5.420000001,259.7468262,0.029399727,37.06949964
5.44,260.7487793,0.02969918,37.06982771
5.470000001,262.2058105,0.029849999,37.07033601
5.49,263.3269043,0.030149452,37.07067266
5.510000001,264.447998,0.03044986,37.07100073
5.54,265.6589355,0.0306,37.0715014
5.57,266.9577637,0.031049997,37.0719935
5.600000001,268.0925293,0.031349726,37.07249418
5.630000001,269.3151855,0.03179986,37.07299486
5.66,270.7194824,0.032249995,37.07350317
5.7,272.057373,0.032699179,37.07417551
5.75,273.1678467,0.033149179,37.07499567
5.79,274.2518311,0.033599727,37.07565275
5.840000001,275.5252686,0.034199726,37.07648912
5.880000001,276.7811279,0.034649998,37.07716146
5.920000001,277.8397217,0.035249859,37.07785097
5.96,279.0145264,0.035549998,37.0785071
6.010000001,280.0770264,0.036299177,37.07933584
6.07,281.1439209,0.037049454,37.08033624
6.11,282.2630615,0.037499726,37.08101717
6.16,283.2640381,0.038099997,37.08184591
6.23,284.5067139,0.039149452,37.08299509
6.27,285.6287842,0.039599452,37.08365121
6.33,286.758667,0.040349454,37.0846602
6.430000001,287.8546143,0.041549314,37.08634153
6.5,288.9195557,0.042599179,37.08751455
6.57,290.1280518,0.043349586,37.08869615
6.65,291.4453125,0.044399586,37.09000841
6.71,292.858551,0.045149729,37.09100184
6.810000001,293.8697815,0.046349727,37.09269175
6.86,294.9410706,0.046950001,37.09352812
6.930000001,296.1871643,0.047849726,37.09468493
6.99,297.2106018,0.048599999,37.09569392
7.04,298.2262268,0.049349587,37.09654745
7.130000001,299.3280334,0.050399452,37.09801516
7.19,300.5096741,0.051150002,37.09900793
7.29,301.3911743,0.052499995,37.10071406
7.380000001,302.6057739,0.053699452,37.1021913
7.48,303.5091553,0.055049453,37.103865
7.560000001,304.6148682,0.055949725,37.10518584
7.66,304.8963623,0.05729945,37.10685095
7.720000001,305.9632568,0.058049452,37.10785994
7.810000001,307.0128174,0.059099998,37.10935339
7.91,307.9658203,0.0603,37.11102614
8.010000001,308.8701782,0.061649453,37.11269221
8.07,309.9468384,0.062399454,37.11366782
8.170000001,310.6864624,0.063599996,37.11536631
8.27,311.4250793,0.064949997,37.11701521
8.37,312.2006226,0.066299453,37.11869654
8.430000001,313.3135376,0.067049451,37.11968169
8.53,314.1726685,0.06825,37.12133059
8.600000001,315.2173462,0.069149993,37.12251982
8.7,315.4526367,0.07049986,37.12416014
8.800000001,315.8081055,0.071699999,37.12583384
8.9,316.3931885,0.072899997,37.12749991
9,317.074585,0.074249454,37.12915644
9.100000001,317.9337158,0.075449452,37.13083014
